MATCH UP,SEASON,DATE,TEAM,OPPONENT,HOME/AWAY,RESULT,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus
"Jun 05, 2015 - WAS @ CON",2015,06/05/2015,WAS,CON,Away,W,16,3,1,4,25,0,2,0,1,2,50,0,4,4,3,0,1,0,2,-6
"Jun 06, 2015 - WAS vs. NYL",2015,06/06/2015,WAS,NYL,Home,W,15,7,2,7,28.6,1,3,33.3,2,3,66.7,0,2,2,3,0,0,3,1,3
"Jun 12, 2015 - WAS vs. ATL",2015,06/12/2015,WAS,ATL,Home,L,30,4,1,8,12.5,1,1,100,1,2,50,0,3,3,4,1,1,3,2,-4
"Jun 14, 2015 - WAS @ NYL",2015,06/14/2015,WAS,NYL,Away,W,15,0,0,1,0,0,1,0,0,2,0,0,2,2,3,0,0,2,5,-16
"Jun 19, 2015 - WAS vs. TUL",2015,06/19/2015,WAS,TUL,Home,L,11,0,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0,1,1,3
"Jun 20, 2015 - WAS @ IND",2015,06/20/2015,WAS,IND,Away,W,21,9,3,6,50,1,2,50,2,3,66.7,1,4,5,4,1,0,3,0,9
"Jun 23, 2015 - WAS vs. LAS",2015,06/23/2015,WAS,LAS,Home,W,13,6,1,2,50,0,0,0,4,4,100,0,3,3,2,1,0,1,2,-1
"Jun 26, 2015 - WAS @ ATL",2015,06/26/2015,WAS,ATL,Away,L,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-7
"Jun 28, 2015 - WAS vs. CHI",2015,06/28/2015,WAS,CHI,Home,W,13,2,1,4,25,0,1,0,0,0,0,0,4,4,2,1,0,0,3,-8
"Jul 02, 2015 - WAS @ IND",2015,07/02/2015,WAS,IND,Away,L,11,2,1,2,50,0,1,0,0,0,0,1,1,2,0,0,0,1,1,-11
"Jul 09, 2015 - WAS vs. NYL",2015,07/09/2015,WAS,NYL,Home,L,11,2,1,3,33.3,0,0,0,0,0,0,2,0,2,2,1,0,1,0,6
"Jul 15, 2015 - WAS @ CHI",2015,07/14/2015,WAS,CHI,Away,L,16,0,0,4,0,0,1,0,0,0,0,0,3,3,0,1,0,1,1,-3
"Jul 17, 2015 - WAS vs. IND",2015,07/17/2015,WAS,IND,Home,W,15,5,2,3,66.7,1,1,100,0,0,0,0,3,3,3,2,0,0,3,10
"Jul 19, 2015 - WAS vs. CON",2015,07/19/2015,WAS,CON,Home,W,32,7,2,5,40,0,1,0,3,6,50,0,4,4,3,2,0,3,1,17
"Jul 21, 2015 - WAS @ TUL",2015,07/21/2015,WAS,TUL,Away,W,19,6,1,3,33.3,1,2,50,3,4,75,0,4,4,5,1,0,0,3,7
"Jul 29, 2015 - WAS vs. SEA",2015,07/29/2015,WAS,SEA,Home,W,13,2,1,3,33.3,0,1,0,0,0,0,1,0,1,2,1,1,1,0,4
"Jul 31, 2015 - WAS @ SAN",2015,07/31/2015,WAS,SAN,Away,W,28,6,2,3,66.7,1,1,100,1,1,100,1,3,4,7,2,0,1,0,30
"Aug 02, 2015 - WAS @ CHI",2015,08/02/2015,WAS,CHI,Away,L,33,3,1,4,25,1,2,50,0,0,0,0,1,1,8,1,0,0,1,0
"Aug 05, 2015 - WAS vs. SAN",2015,08/05/2015,WAS,SAN,Home,W,16,2,1,5,20,0,2,0,0,0,0,0,2,2,2,1,0,0,2,-4
"Aug 07, 2015 - WAS @ CON",2015,08/07/2015,WAS,CON,Away,L,20,4,2,5,40,0,2,0,0,0,0,0,0,0,4,1,0,0,1,-14
